省份,城市,确诊,死亡,治愈,时间
湖南,益阳,60,0,60,5/28/2020 8:55
湖南,张家界,5,0,5,5/28/2020 8:55
湖南,常德,82,0,82,5/28/2020 8:55
湖南,岳阳,156,1,155,5/28/2020 8:55
湖南,邵阳,102,1,101,5/28/2020 8:55
湖南,湘潭,36,0,36,5/28/2020 8:55
湖南,株洲,80,0,80,5/28/2020 8:55
湖南,衡阳,48,0,48,5/28/2020 8:55
湖南,长沙,242,2,240,5/28/2020 8:55
澳门,地区待确认,45,0,45,5/28/2020 8:55
西藏,拉萨,1,0,1,5/28/2020 8:55
甘肃,境外输入,47,0,47,5/28/2020 8:55
甘肃,兰州,37,2,35,5/28/2020 8:55
甘肃,定西,9,0,9,5/28/2020 8:55
甘肃,地区待确认,0,0,0,5/28/2020 8:55
甘肃,平凉,9,0,9,5/28/2020 8:55
甘肃,庆阳,3,0,3,5/28/2020 8:55
甘肃,白银,4,0,4,5/28/2020 8:55
甘肃,甘南州,8,0,8,5/28/2020 8:55
甘肃,天水,12,0,12,5/28/2020 8:55
甘肃,陇南,4,0,4,5/28/2020 8:55
甘肃,临夏,3,0,3,5/28/2020 8:55
甘肃,张掖,2,0,2,5/28/2020 8:55
甘肃,金昌,1,0,1,5/28/2020 8:55
云南,境外输入,11,0,11,5/28/2020 8:55
云南,曲靖,13,0,13,5/28/2020 8:55
云南,德宏州,5,0,5,5/28/2020 8:55
云南,昆明,53,0,53,5/28/2020 8:55
云南,保山市,9,0,9,5/28/2020 8:55
云南,玉溪,14,1,13,5/28/2020 8:55
云南,红河,9,0,9,5/28/2020 8:55
云南,昭通市,25,0,25,5/28/2020 8:55
云南,大理,13,0,13,5/28/2020 8:55
云南,西双版纳州,15,1,14,5/28/2020 8:55
云南,文山州,2,0,2,5/28/2020 8:55
云南,普洱,4,0,4,5/28/2020 8:55
云南,楚雄州,4,0,4,5/28/2020 8:55
云南,丽江市,7,0,7,5/28/2020 8:55
云南,临沧,1,0,1,5/28/2020 8:55
